Day,Campaign,Campaign ID,Cost,Impressions,Clicks,Conversions,Conv. value
2026-07-04,Search - Brand,11122334,66.09,2007,74,5.00,1164.10
2026-07-04,Shopping - Core,11122335,171.90,6395,196,7.00,955.20
2026-07-04,Search - Generic,11122336,69.78,2848,104,2.00,367.00
2026-07-04,PMax - Retargeting,11122337,34.86,1669,48,3.00,898.30
2026-07-05,Search - Brand,11122334,62.67,2207,91,9.00,1571.10
2026-07-05,Shopping - Core,11122335,173.48,5779,225,7.00,1695.30
2026-07-05,Search - Generic,11122336,79.49,2900,123,3.00,417.00
2026-07-05,PMax - Retargeting,11122337,39.33,1350,53,3.00,566.00
2026-07-06,Search - Brand,11122334,87.55,2760,138,10.00,821.30
2026-07-06,Shopping - Core,11122335,236.62,5962,260,8.00,1303.50
2026-07-06,Search - Generic,11122336,96.42,3669,111,3.00,475.00
2026-07-06,PMax - Retargeting,11122337,47.02,1137,51,3.00,765.00
2026-07-07,Search - Brand,11122334,92.49,3470,146,13.00,2115.60
2026-07-07,Shopping - Core,11122335,246.51,5360,265,7.00,1164.40
2026-07-07,Search - Generic,11122336,100.19,3471,113,3.00,267.00
2026-07-07,PMax - Retargeting,11122337,50.60,1607,62,4.00,665.00
2026-07-08,Search - Brand,11122334,86.12,3329,133,10.00,1117.20
2026-07-08,Shopping - Core,11122335,266.77,9459,336,9.00,1274.20
2026-07-08,Search - Generic,11122336,99.84,2829,109,3.00,413.20
2026-07-08,PMax - Retargeting,11122337,51.92,1354,55,3.00,394.20
2026-07-09,Search - Brand,11122334,94.62,4144,126,10.00,1656.80
2026-07-09,Shopping - Core,11122335,255.68,8569,299,9.00,1526.20
2026-07-09,Search - Generic,11122336,109.93,3609,127,2.00,396.00
2026-07-09,PMax - Retargeting,11122337,45.51,1149,50,3.00,405.00
2026-07-10,Search - Brand,11122334,67.39,2375,102,9.00,1542.10
2026-07-10,Shopping - Core,11122335,188.59,6922,294,9.00,1284.30
2026-07-10,Search - Generic,11122336,71.35,2850,99,2.00,387.00
2026-07-10,PMax - Retargeting,11122337,34.10,806,41,2.00,637.00
2026-07-11,Search - Brand,11122334,64.48,2721,88,8.00,1290.20
2026-07-11,Shopping - Core,11122335,211.15,7631,254,8.00,1200.10
2026-07-11,Search - Generic,11122336,75.41,3990,114,3.00,352.30
2026-07-11,PMax - Retargeting,11122337,38.98,1220,56,4.00,772.40
2026-07-12,Search - Brand,11122334,68.94,2018,90,8.00,1089.00
2026-07-12,Shopping - Core,11122335,184.84,6016,216,6.00,1024.20
2026-07-12,Search - Generic,11122336,73.48,2110,80,2.00,636.00
2026-07-12,PMax - Retargeting,11122337,37.82,900,44,3.00,266.00
2026-07-13,Search - Brand,11122334,92.62,3463,123,12.00,1233.20
2026-07-13,Shopping - Core,11122335,292.89,9126,328,10.00,1539.60
2026-07-13,Search - Generic,11122336,94.97,3575,124,2.00,228.00
2026-07-13,PMax - Retargeting,11122337,50.53,2245,73,5.00,536.20
2026-07-14,Search - Brand,11122334,91.20,3003,129,12.00,3348.00
2026-07-14,Shopping - Core,11122335,252.92,7750,384,13.00,2516.80
2026-07-14,Search - Generic,11122336,100.19,2305,118,3.00,370.30
2026-07-14,PMax - Retargeting,11122337,53.36,1835,62,3.00,621.20
2026-07-15,Search - Brand,11122334,94.83,2853,106,9.00,1989.20
2026-07-15,Shopping - Core,11122335,263.98,9587,313,10.00,1774.60
2026-07-15,Search - Generic,11122336,106.83,4330,129,3.00,325.00
2026-07-15,PMax - Retargeting,11122337,52.18,1654,62,5.00,859.10
2026-07-16,Search - Brand,11122334,89.61,2148,106,9.00,2260.10
2026-07-16,Shopping - Core,11122335,273.10,8388,337,9.00,1236.30
2026-07-16,Search - Generic,11122336,96.58,2982,127,3.00,391.10
2026-07-16,PMax - Retargeting,11122337,54.22,2014,72,4.00,331.10
2026-07-17,Search - Brand,11122334,75.11,2476,85,8.00,840.00
2026-07-17,Shopping - Core,11122335,216.17,6171,284,9.00,1350.10
2026-07-17,Search - Generic,11122336,68.57,2234,87,2.00,446.30
2026-07-17,PMax - Retargeting,11122337,35.07,1674,53,4.00,361.10
2026-07-18,Search - Brand,11122334,69.29,1547,80,7.00,1147.40
2026-07-18,Shopping - Core,11122335,185.39,6038,210,7.00,750.40
2026-07-18,Search - Generic,11122336,78.22,3151,119,3.00,535.00
2026-07-18,PMax - Retargeting,11122337,35.31,1516,49,3.00,446.00
2026-07-19,Search - Brand,11122334,62.64,1695,81,8.00,1247.00
2026-07-19,Shopping - Core,11122335,189.67,7924,240,8.00,996.30
2026-07-19,Search - Generic,11122336,83.09,2873,97,3.00,292.50
2026-07-19,PMax - Retargeting,11122337,41.62,1088,54,4.00,257.20
2026-07-20,Search - Brand,11122334,102.01,2784,109,9.00,979.00
2026-07-20,Shopping - Core,11122335,298.14,9830,357,10.00,943.30
2026-07-20,Search - Generic,11122336,114.11,3369,159,3.00,515.20
2026-07-20,PMax - Retargeting,11122337,57.02,2176,61,4.00,791.20
2026-07-21,Search - Brand,11122334,101.18,4148,144,12.00,2033.40
2026-07-21,Shopping - Core,11122335,259.30,7420,330,9.00,1123.10
2026-07-21,Search - Generic,11122336,108.50,4525,144,3.00,180.10
2026-07-21,PMax - Retargeting,11122337,50.94,1913,59,4.00,745.00
2026-07-22,Search - Brand,11122334,91.05,2800,107,10.00,1986.70
2026-07-22,Shopping - Core,11122335,271.94,7059,316,10.00,1809.10
2026-07-22,Search - Generic,11122336,95.52,3057,148,4.00,201.10
2026-07-22,PMax - Retargeting,11122337,54.48,1410,58,4.00,467.20
2026-07-23,Search - Brand,11122334,91.48,2424,97,10.00,1930.10
2026-07-23,Shopping - Core,11122335,288.19,10255,422,11.00,1964.00
2026-07-23,Search - Generic,11122336,115.14,3338,123,3.00,462.20
2026-07-23,PMax - Retargeting,11122337,51.33,1746,57,4.00,700.20
2026-07-24,Search - Brand,11122334,64.01,2470,72,7.00,1116.20
2026-07-24,Shopping - Core,11122335,197.66,5726,253,7.00,1102.10
2026-07-24,Search - Generic,11122336,72.48,2468,98,2.00,110.10
2026-07-24,PMax - Retargeting,11122337,39.59,1403,57,3.00,370.10
2026-07-25,Search - Brand,11122334,71.03,2171,105,9.00,853.30
2026-07-25,Shopping - Core,11122335,211.21,8867,302,9.00,1074.40
2026-07-25,Search - Generic,11122336,79.21,2865,92,2.00,266.00
2026-07-25,PMax - Retargeting,11122337,41.95,1104,49,3.00,586.00
2026-07-26,Search - Brand,11122334,73.92,2061,78,6.00,675.20
2026-07-26,Shopping - Core,11122335,197.73,7034,303,10.00,2147.50
2026-07-26,Search - Generic,11122336,84.92,2703,108,2.00,667.00
2026-07-26,PMax - Retargeting,11122337,36.77,983,50,3.00,197.00
2026-07-27,Search - Brand,11122334,106.14,4528,142,11.00,1705.20
2026-07-27,Shopping - Core,11122335,272.82,8365,325,12.00,1747.60
2026-07-27,Search - Generic,11122336,106.56,4704,138,3.00,571.50
2026-07-27,PMax - Retargeting,11122337,49.37,1369,57,3.00,305.00
2026-07-28,Search - Brand,11122334,101.69,2310,120,11.00,1550.40
2026-07-28,Shopping - Core,11122335,290.36,8840,445,13.00,1473.50
2026-07-28,Search - Generic,11122336,97.50,2510,108,2.00,787.10
2026-07-28,PMax - Retargeting,11122337,54.17,1240,64,4.00,1124.20
2026-07-29,Search - Brand,11122334,86.99,2539,101,8.00,1248.10
2026-07-29,Shopping - Core,11122335,295.99,10804,378,13.00,2228.50
2026-07-29,Search - Generic,11122336,112.21,3413,173,4.00,206.00
2026-07-29,PMax - Retargeting,11122337,53.44,1967,77,4.00,765.00
2026-07-30,Search - Brand,11122334,105.20,3009,150,12.00,1999.60
2026-07-30,Shopping - Core,11122335,283.25,6849,329,10.00,2145.10
2026-07-30,Search - Generic,11122336,100.54,3674,153,3.00,400.10
2026-07-30,PMax - Retargeting,11122337,49.95,2021,74,4.00,816.10
2026-07-31,Search - Brand,11122334,64.88,2319,76,6.00,967.10
2026-07-31,Shopping - Core,11122335,222.31,7575,343,11.00,1462.20
2026-07-31,Search - Generic,11122336,76.22,2294,104,2.00,246.00
2026-07-31,PMax - Retargeting,11122337,40.90,1372,47,3.00,571.20
2026-08-01,Search - Brand,11122334,70.34,3509,103,9.00,1350.40
2026-08-01,Shopping - Core,11122335,207.17,6998,227,6.00,1007.70
2026-08-01,Search - Generic,11122336,77.91,1943,96,2.00,431.20
2026-08-01,PMax - Retargeting,11122337,40.66,1089,45,3.00,729.20
2026-08-02,Search - Brand,11122334,76.74,2274,91,8.00,1173.20
2026-08-02,Shopping - Core,11122335,206.54,9188,275,9.00,1643.60
2026-08-02,Search - Generic,11122336,76.42,2870,97,2.00,257.00
2026-08-02,PMax - Retargeting,11122337,42.78,1186,59,3.00,396.00
2026-08-03,Search - Brand,11122334,106.91,4320,151,13.00,2214.10
2026-08-03,Shopping - Core,11122335,256.44,7934,369,12.00,2218.50
2026-08-03,Search - Generic,11122336,98.92,3357,130,2.00,353.20
2026-08-03,PMax - Retargeting,11122337,49.88,1391,70,4.00,394.20
2026-08-04,Search - Brand,11122334,100.59,5387,161,14.00,2640.50
2026-08-04,Shopping - Core,11122335,291.30,10590,376,11.00,1692.70
2026-08-04,Search - Generic,11122336,98.94,2167,107,2.00,118.00
2026-08-04,PMax - Retargeting,11122337,49.48,2662,79,4.00,466.10
2026-08-05,Search - Brand,11122334,103.10,2986,118,11.00,2336.30
2026-08-05,Shopping - Core,11122335,297.81,13067,403,11.00,1325.30
2026-08-05,Search - Generic,11122336,100.30,4730,143,4.00,356.00
2026-08-05,PMax - Retargeting,11122337,59.66,1513,63,4.00,515.10
2026-08-06,Search - Brand,11122334,105.03,3798,151,14.00,2532.30
2026-08-06,Shopping - Core,11122335,299.60,8814,385,12.00,2585.80
2026-08-06,Search - Generic,11122336,111.13,3354,134,3.00,547.00
2026-08-06,PMax - Retargeting,11122337,51.70,1838,61,4.00,545.00
2026-08-07,Search - Brand,11122334,72.90,1800,91,7.00,462.00
2026-08-07,Shopping - Core,11122335,228.32,6969,262,8.00,959.00
2026-08-07,Search - Generic,11122336,88.03,3895,114,2.00,268.00
2026-08-07,PMax - Retargeting,11122337,37.99,1050,42,3.00,226.20
2026-08-08,Search - Brand,11122334,71.12,1728,83,8.00,2099.30
2026-08-08,Shopping - Core,11122335,220.99,9708,312,10.00,1297.70
2026-08-08,Search - Generic,11122336,85.58,3245,126,4.00,690.20
2026-08-08,PMax - Retargeting,11122337,36.82,1626,57,3.00,469.20
2026-08-09,Search - Brand,11122334,66.00,2055,92,8.00,1345.00
2026-08-09,Shopping - Core,11122335,209.60,5817,264,8.00,926.30
2026-08-09,Search - Generic,11122336,79.58,2506,87,2.00,159.30
2026-08-09,PMax - Retargeting,11122337,36.51,1061,52,4.00,385.00
2026-08-10,Search - Brand,11122334,109.07,3472,171,16.00,2044.20
2026-08-10,Shopping - Core,11122335,288.70,8201,413,14.00,2691.50
2026-08-10,Search - Generic,11122336,112.76,2415,121,2.00,177.30
2026-08-10,PMax - Retargeting,11122337,56.35,1338,60,4.00,602.20
2026-08-11,Search - Brand,11122334,109.45,5464,160,14.00,2132.50
2026-08-11,Shopping - Core,11122335,312.50,10358,414,13.00,1727.10
2026-08-11,Search - Generic,11122336,106.15,3455,156,4.00,1041.00
2026-08-11,PMax - Retargeting,11122337,60.98,1524,75,4.00,316.00
2026-08-12,Search - Brand,11122334,94.13,3227,120,9.00,880.30
2026-08-12,Shopping - Core,11122335,266.27,7310,290,9.00,893.20
2026-08-12,Search - Generic,11122336,112.77,3808,157,3.00,1045.30
2026-08-12,PMax - Retargeting,11122337,55.43,2045,65,4.00,549.20
2026-08-13,Search - Brand,11122334,98.84,3825,153,14.00,2071.60
2026-08-13,Shopping - Core,11122335,292.50,7686,364,11.00,1576.30
2026-08-13,Search - Generic,11122336,106.98,3214,151,3.00,492.20
2026-08-13,PMax - Retargeting,11122337,53.68,2676,83,6.00,424.00
2026-08-14,Search - Brand,11122334,67.28,1834,72,7.00,1111.40
2026-08-14,Shopping - Core,11122335,204.17,5438,222,7.00,803.20
2026-08-14,Search - Generic,11122336,75.82,2434,101,2.00,198.00
2026-08-14,PMax - Retargeting,11122337,40.80,1205,58,4.00,719.20
2026-08-15,Search - Brand,11122334,71.15,2208,96,8.00,1751.10
2026-08-15,Shopping - Core,11122335,219.59,8137,285,9.00,1736.10
2026-08-15,Search - Generic,11122336,74.59,1662,85,2.00,417.00
2026-08-15,PMax - Retargeting,11122337,42.59,929,47,3.00,186.00
2026-08-16,Search - Brand,11122334,70.95,2516,89,9.00,1333.10
2026-08-16,Shopping - Core,11122335,201.07,9511,296,8.00,808.10
2026-08-16,Search - Generic,11122336,88.01,2335,107,2.00,242.10
2026-08-16,PMax - Retargeting,11122337,42.60,1157,46,3.00,355.00
2026-08-17,Search - Brand,11122334,107.45,4422,149,14.00,2309.40
2026-08-17,Shopping - Core,11122335,299.52,8144,399,12.00,1563.20
2026-08-17,Search - Generic,11122336,115.16,3553,147,3.00,675.20
2026-08-17,PMax - Retargeting,11122337,59.12,2235,71,4.00,715.00
2026-08-18,Search - Brand,11122334,105.10,4663,162,13.00,1284.50
2026-08-18,Shopping - Core,11122335,288.67,14396,424,15.00,2662.10
2026-08-18,Search - Generic,11122336,102.44,3289,118,2.00,177.00
2026-08-18,PMax - Retargeting,11122337,56.49,2085,67,4.00,765.00
2026-08-19,Search - Brand,11122334,112.07,3184,132,12.00,2635.10
2026-08-19,Shopping - Core,11122335,286.29,11708,356,12.00,2107.70
2026-08-19,Search - Generic,11122336,115.60,4243,147,3.00,735.20
2026-08-19,PMax - Retargeting,11122337,61.37,3209,95,6.00,899.30
2026-08-20,Search - Brand,11122334,106.70,3980,159,14.00,2226.20
2026-08-20,Shopping - Core,11122335,271.07,7845,394,13.00,2385.40
2026-08-20,Search - Generic,11122336,108.74,2893,130,3.00,131.10
2026-08-20,PMax - Retargeting,11122337,51.69,1444,56,3.00,221.20
2026-08-21,Search - Brand,11122334,68.06,2430,75,6.00,1186.20
2026-08-21,Shopping - Core,11122335,227.29,7851,334,11.00,2337.60
2026-08-21,Search - Generic,11122336,77.71,1962,92,2.00,147.00
2026-08-21,PMax - Retargeting,11122337,44.02,1742,55,3.00,759.30
2026-08-22,Search - Brand,11122334,79.06,2382,101,9.00,876.50
2026-08-22,Shopping - Core,11122335,238.92,4909,254,7.00,1273.30
2026-08-22,Search - Generic,11122336,90.45,2961,133,3.00,321.10
2026-08-22,PMax - Retargeting,11122337,38.80,1748,56,4.00,275.30
2026-08-23,Search - Brand,11122334,81.88,2358,100,8.00,1114.20
2026-08-23,Shopping - Core,11122335,237.39,8003,282,9.00,971.10
2026-08-23,Search - Generic,11122336,77.25,4089,121,2.00,236.00
2026-08-23,PMax - Retargeting,11122337,42.02,1444,52,4.00,994.00
2026-08-24,Search - Brand,11122334,100.21,2994,151,14.00,2039.20
2026-08-24,Shopping - Core,11122335,312.66,14344,503,17.00,1920.80
2026-08-24,Search - Generic,11122336,124.44,2969,142,3.00,434.30
2026-08-24,PMax - Retargeting,11122337,53.54,1524,66,4.00,557.10
2026-08-25,Search - Brand,11122334,109.40,3402,116,10.00,2452.60
2026-08-25,Shopping - Core,11122335,275.32,6992,359,12.00,1829.40
2026-08-25,Search - Generic,11122336,110.13,3880,177,4.00,221.10
2026-08-25,PMax - Retargeting,11122337,59.30,2746,80,5.00,594.30
2026-08-26,Search - Brand,11122334,98.04,3376,135,11.00,1123.60
2026-08-26,Shopping - Core,11122335,271.14,8003,368,13.00,2012.50
2026-08-26,Search - Generic,11122336,121.09,3016,138,4.00,255.00
2026-08-26,PMax - Retargeting,11122337,63.55,1918,99,7.00,1315.40
2026-08-27,Search - Brand,11122334,99.32,3372,131,10.00,1749.30
2026-08-27,Shopping - Core,11122335,291.28,9566,327,9.00,2351.20
2026-08-27,Search - Generic,11122336,114.34,3844,158,4.00,538.20
2026-08-27,PMax - Retargeting,11122337,60.85,2362,87,5.00,409.60
2026-08-28,Search - Brand,11122334,70.33,2503,83,7.00,1314.90
2026-08-28,Shopping - Core,11122335,239.13,8181,354,12.00,2101.70
2026-08-28,Search - Generic,11122336,90.49,3162,140,3.00,288.10
2026-08-28,PMax - Retargeting,11122337,44.48,1682,61,4.00,470.10
2026-08-29,Search - Brand,11122334,72.15,2370,93,8.00,1860.10
2026-08-29,Shopping - Core,11122335,241.08,10496,355,11.00,1504.20
2026-08-29,Search - Generic,11122336,92.92,2724,125,2.00,267.00
2026-08-29,PMax - Retargeting,11122337,39.21,1189,43,3.00,216.00
2026-08-30,Search - Brand,11122334,72.05,3573,105,9.00,1617.30
2026-08-30,Shopping - Core,11122335,204.78,8183,295,8.00,1366.00
2026-08-30,Search - Generic,11122336,82.93,2484,91,1.00,79.00
2026-08-30,PMax - Retargeting,11122337,39.28,1975,57,3.00,253.10
2026-08-31,Search - Brand,11122334,102.97,3849,140,11.00,2031.30
2026-08-31,Shopping - Core,11122335,300.00,11614,401,12.00,2229.30
2026-08-31,Search - Generic,11122336,124.92,3378,145,3.00,470.70
2026-08-31,PMax - Retargeting,11122337,53.87,1550,60,4.00,601.20
2026-09-01,Search - Brand,11122334,103.27,3623,157,12.00,1663.30
2026-09-01,Shopping - Core,11122335,286.70,10626,357,12.00,2296.20
2026-09-01,Search - Generic,11122336,118.19,3344,155,3.00,549.40
2026-09-01,PMax - Retargeting,11122337,61.86,2502,75,4.00,315.20
2026-09-02,Search - Brand,11122334,110.95,2554,120,11.00,2928.60
2026-09-02,Shopping - Core,11122335,313.96,10303,427,12.00,1929.40
2026-09-02,Search - Generic,11122336,108.99,3384,117,2.00,165.20
2026-09-02,PMax - Retargeting,11122337,59.51,1775,89,5.00,1433.30
2026-09-03,Search - Brand,11122334,112.11,2947,126,10.00,992.50
2026-09-03,Shopping - Core,11122335,283.36,8945,358,10.00,974.70
2026-09-03,Search - Generic,11122336,109.90,2958,148,3.00,414.00
2026-09-03,PMax - Retargeting,11122337,62.85,2477,80,5.00,695.30
2026-09-04,Search - Brand,11122334,71.03,1995,92,8.00,1633.50
2026-09-04,Shopping - Core,11122335,214.76,7385,278,8.00,1371.00
2026-09-04,Search - Generic,11122336,81.74,1774,88,2.00,118.00
2026-09-04,PMax - Retargeting,11122337,44.42,1787,53,4.00,785.00
2026-09-05,Search - Brand,11122334,77.46,2170,97,9.00,1546.20
2026-09-05,Shopping - Core,11122335,233.51,5918,293,8.00,829.40
2026-09-05,Search - Generic,11122336,83.45,3005,124,3.00,192.10
2026-09-05,PMax - Retargeting,11122337,43.35,1141,53,3.00,547.10
2026-09-06,Search - Brand,11122334,81.42,2602,107,9.00,1286.30
2026-09-06,Shopping - Core,11122335,245.44,10086,388,11.00,2263.30
2026-09-06,Search - Generic,11122336,83.37,2245,98,2.00,331.20
2026-09-06,PMax - Retargeting,11122337,41.88,1570,50,3.00,855.00
2026-09-07,Search - Brand,11122334,98.27,3961,116,9.00,1295.20
2026-09-07,Shopping - Core,11122335,323.72,9156,469,5.00,474.10
2026-09-07,Search - Generic,11122336,130.24,4181,185,4.00,435.00
2026-09-07,PMax - Retargeting,11122337,56.93,2238,65,3.00,267.20
2026-09-08,Search - Brand,11122334,103.97,4171,156,11.00,2225.10
2026-09-08,Shopping - Core,11122335,342.45,12946,532,6.00,691.20
2026-09-08,Search - Generic,11122336,110.12,3172,118,2.00,178.20
2026-09-08,PMax - Retargeting,11122337,56.08,1896,71,4.00,1212.00
2026-09-09,Search - Brand,11122334,112.05,4328,132,11.00,2028.60
2026-09-09,Shopping - Core,11122335,311.36,10605,381,4.00,914.00
2026-09-09,Search - Generic,11122336,131.64,3536,145,3.00,356.00
2026-09-09,PMax - Retargeting,11122337,60.69,1466,65,3.00,786.30
2026-09-10,Search - Brand,11122334,112.14,4041,128,10.00,2061.60
2026-09-10,Shopping - Core,11122335,331.29,8419,413,5.00,1282.00
2026-09-10,Search - Generic,11122336,126.47,6464,197,4.00,670.10
2026-09-10,PMax - Retargeting,11122337,64.82,1572,77,5.00,1032.00
2026-09-11,Search - Brand,11122334,87.08,2157,96,8.00,1467.30
2026-09-11,Shopping - Core,11122335,210.93,6836,322,4.00,694.20
2026-09-11,Search - Generic,11122336,80.38,3019,98,2.00,132.10
2026-09-11,PMax - Retargeting,11122337,42.95,2029,60,3.00,477.00
2026-09-12,Search - Brand,11122334,80.21,2339,111,8.00,1372.20
2026-09-12,Shopping - Core,11122335,218.95,6434,239,2.00,619.20
2026-09-12,Search - Generic,11122336,83.99,2828,101,2.00,517.00
2026-09-12,PMax - Retargeting,11122337,42.97,1101,47,3.00,827.10
2026-09-13,Search - Brand,11122334,85.82,2447,91,7.00,585.20
2026-09-13,Shopping - Core,11122335,217.60,7812,293,3.00,290.20
2026-09-13,Search - Generic,11122336,86.62,2387,98,2.00,378.00
2026-09-13,PMax - Retargeting,11122337,47.02,1417,62,3.00,783.00
31/02/2026,Search - Brand,11122334,12.40,900,14,0.00,0.00
